SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,Tempo,TimeSignature,Title,Year,SongHotness
1,SOMZWCG12A8C13C480,300848,Fear Itself,ARD7TVE1187B99BFB1,Casual,218.93179,1,92.198,4,I Didn't Mean To,0,0.60211999
2,SOCIWDW12A8C13D406,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,6,121.274,4,Soul Deep,1969,
3,SOXVLOJ12AB0189215,514953,Las Numero 1 De La Sonora Santanera,ARKRRTF1187B9984DA,Sonora Santanera,177.47546,8,100.07,1,Amor De Cabaret,0,
4,SONHOTT12A8C13493C,287650,Friend Or Foe,AR7G5I41187FB4CE6C,Adam Ant,233.40363,0,119.293,4,Something Girls,1982,
5,SOFSOCN12A8C143F5D,611336,Muertos Vivos,ARXR32B1187FB57099,Gob,209.60608,2,129.738,4,Face the Ashes,2007,0.604500739
6,SOYMRWW12A6D4FAB14,41838,Ordinary Day,ARKFYS91187B98E58F,Jeff And Sheri Easter,267.7024,5,147.782,3,The Moon And I (Ordinary Day Album Version),0,
7,SOMJBYD12A6D4F8557,25824,Da Ghetto Psychic,ARD0S291187B9B7BF5,Rated R,114.78159,1,111.787,1,Keepin It Real (Skit),0,
8,SOHKNRJ12A6701D1F8,8876,Gin & Phonic,AR10USD1187B99F3F1,Tweeterfriendly Music,189.57016,4,101.43,3,Drop of Rain,0,
9,SOIAZJW12AB01853F1,358182,Pink World,AR8ZCNI1187B9A069B,Planet P Project,269.81832,4,86.643,4,Pink World,1984,0.265861049
10,SOUDSGM12AC9618304,692313,Superinstrumental,ARNTLGG11E2835DDB9,Clp,266.39628,7,114.041,4,Insatiable (Instrumental Version),0,
11,SOQHXMF12AB0182363,539081,I Need You,ARGSJW91187B9B1D6B,JennyAnyKind,218.77506,5,146.765,1,Young Boy Blues,0,0.0
12,SOKEJEJ12A8C13E0D0,163874,The Way Home,ARC43071187B990240,Wayne Watson,245.21098,7,117.975,4,The Urgency (LP Version),0,0.265861049
13,SOMUYGI12AB0188633,575792,Placer & Castigo,ARL7K851187B99ACD2,Andy Andy,226.35057,9,130.04,4,La Culpa,0,0.0
14,SORAMLE12AB017C8B0,815863,Arrivederci,ARHHO3O1187B989413,Bob Azzam,191.84281,10,137.334,1,Auguri Cha Cha,0,0.0
15,SOBONFF12A6D4F84D8,25811,Dancing On The Ceiling,ARIK43K1187B9AE54C,Lionel Richie,307.3824,3,125.197,3,Tonight Will Be Alright,1986,
16,SOHUOAP12A8AE488E9,135122,Outskirts,ARD842G1187B997376,Blue Rodeo,491.12771,7,119.826,4,Floating,1987,0.405115722
17,SOUQQEA12A8C134B1B,149958,Cross Currents,ARIG6O41187B988BDD,Richard Souther,228.5971,8,127.756,5,High Tide,0,0.334706549
18,SOILPQQ12AB017E82A,535188,Panjtan Ka Ghulam,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,599.24853,6,99.273,4,Sohna Nee Sohna Data,0,
19,SOXLBJT12A8C140925,372309,Gold,ARYKCQI1187FB3B18F,Tesla,290.29832,7,150.062,4,Caught In A Dream,2004,0.684136191
20,SOZVMJI12AB01808AF,541101,Whatever Happened To Boredom?,ARNPAGP1241B9C7FD4,lextrical,165.69424,7,138.331,4,Synthetic Dream,0,0.0
21,SOWTBJW12AC468AC6E,605134,1942-1952 Jimmy Wakely,ARQGYP71187FB44566,Jimmy Wakely,151.84934,1,86.186,3,Broken-Down Merry-Go-Round,0,
22,SOBEBDG12A58A76D60,239740,All The Good Times,ARI3BMM1187FB4255E,Alice Stuart,220.78649,11,110.382,1,Kassie Jones,0,0.0
23,SOZCTXZ12AB0182364,386995,Un cafe_ setanta matins,AR5KOSW1187FB35FF4,Elena,269.58322,2,111.874,4,Setanta matins,0,0.313562114
24,SOBBUGU12A8C13E95D,223365,Miss Machine,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,207.77751,7,166.862,4,Setting Fire to Sleeping Giants,2004,0.666527846
25,SOBLGCN12AB0183212,652784,Sue Thompson - Her Very Best,AR47JEX1187B995D81,SUE THOMPSON,124.86485,10,137.522,4,James (Hold The Ladder Steady),1985,0.495293621
26,SOPSWQW12A6D4F8781,45730,Live,ARGIWFO1187B9B55B7,Five Bolt Main,225.09669,7,164.672,1,Made Like This (Live),0,0.375984302
27,SOZQDIU12A58A7BCF6,672016,Strictly Confidential,ARNTLGG11E2835DDB9,Clp,338.31138,6,125.006,4,Superconfidential,0,
28,SONYPOM12A8C13B2D7,160881,The Real Twang Thang,ARDNS031187B9924F0,Tim Wilson,186.48771,5,90.022,1,I Think My Wife Is Running Around On Me (Taco Hell),2005,
29,SOBZBAZ12A6D4F8742,59744,Willie Bobo's Finest Hour,AROUOZZ1187B9ABE51,Willie Bobo,168.25424,8,127.025,4,Spanish Grease,1997,
30,SOVYKGO12AB0187199,373723,Shake A Hand,ARH4Z031187B9A71F2,Faye Adams,156.39465,8,95.957,3,Crazy Mixed Up World,1961,0.0
31,SOGNCJP12A58A80271,228326,Occasional Rain,ARB29H41187B98F0EF,Terry Callier,342.56934,6,110.189,3,Do You Finally Need A Friend,1972,0.413739836
32,SOLLHMX12AB01846DC,463514,The Emperor Falls,AR1Y2PT1187FB5B9CE,John Wesley,484.62322,4,138.007,4,The Emperor Falls,0,0.377531645
33,SOYTPEP12AB0180E7B,643400,Best of The Shangri-Las,ARAJPHH1187FB5566A,The Shangri-Las,164.80608,10,130.1,1,Twist and Shout,1964,0.443291312
34,SOGXHEG12AB018653E,663761,20 Of Her Best,AR0RCMP1187FB3F427,Billie Jo Spears,133.32853,4,160.839,1,It Makes No Difference Now,1992,0.0
35,SOOLYAZ12A6701F4A6,12882,Who Is Mike Jones?,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),173.66159,7,41.993,1,Laws Patrolling (Album Version),0,
37,SOJXVAH12A8C139700,244586,Piouhgd + Widowermaker!,ARPQ4Z01187FB3A736,Butthole Surfers,450.84689,4,130.586,4,"Barking Dogs (From Piouhgd"")",0,0.593943076
38,SOVXMTN12A8C135A18,157648,Profities,ARNQAVF11F4C844C04,Despina Vandi,303.09832,8,128.292,4,OUTE ENA EFHARISTO,0,
39,SORSECL12AB0182267,644631,Cracks,ARXUT4W1187FB48BEB,Javier Navarrete,128.83546,3,90.932,3,Midnight Swim,0,0.394394856
40,SOOGFBZ12AC3DF7FF2,730551,Pieces Of Time,ARDD1RC1187B9B52B4,Jacob Young,456.30649,1,89.667,4,In A Subtle Way,0,0.0
41,SOMSBGZ12AB018C4CB,709879,The Palest Grey,ARLGWFM1187FB4AC9F,Scarlet's Remains,198.73914,7,115.061,4,Spin,2007,0.450992312
42,SONYRZV12AB018AF70,706005,A Match & Some Gasoline,ARWYVP51187B98C516,The Suicide Machines,95.68608,2,115.887,4,Burning In The Aftermath,2003,0.528782481
43,SONQBUB12A6D4F8ED0,42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,ARFCUN31187B9AD578,The Rolling Stones,271.49016,9,139.333,1,Angie (1993 Digital Remaster),0,0.83449262
44,SOHGKJW12AC468A8BD,782470,Lo Mejor con La Orq. Broadway,AR6YDKV1187B989230,Roberto Torres,226.66404,0,117.271,4,Sabor Guajiro,0,0.0
45,SOINBCU12A6D4F94C0,28723,Grown Man,ARV1JVD1187B9AD195,Loudon Wainwright III,190.48444,3,102.428,4,Human Cannonball,1995,0.510119314
46,SOTWVQT12A58A79650,557761,A Bothered Mind,AR7TTS41187B9B42D3,R.L. Burnside,277.78567,2,89.984,4,Glory Be,2004,0.482137585
47,SOTSEJY12AB0180F56,417945,Greatest Hits,ART3O5Z1187B9AB043,Stevie Ray Vaughan,248.78975,1,116.721,4,Crossfire,1992,
48,SOTSETT12AB01863B8,575531,Bluesman,AR5U94U1187FB5CDCF,John Hammond,195.3171,7,123.142,4,I Can't Be Satisfied,2002,
49,SOTUNMH12A6D4FA3E6,234425,Etiquette,ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,175.72526,0,141.919,4,Nashville Parthenon,2006,0.785892288
50,SOEPPKB12AB018418B,505301,Ec8or,AR6IRG41187B9A4D98,Ec8or,217.23383,10,95.596,4,Cocain Ducks,1995,
51,SOGKIWV12A6D4F86C4,74655,Too Much Too Soon,ARS1OWB1187B99EEAD,The New York Dolls,344.05832,11,154.953,1,Human Being,1974,0.561692411
52,SOPHYIS12AAF3B35A3,322532,Bossa Nova Stories,ARGMXQW1187FB54C34,Eliane Elias,251.42812,7,86.091,5,The More I See You,2009,0.43483809
53,SOFHBAR12A6701D0FE,14592,Love_ Peace & Nappiness,AROEL1B1187B988B90,Lost Boyz,269.7922,7,90.218,4,Certain Things We Do,1997,0.405115722
54,SOCPRKM12AB018A2FD,515081,Germicide,AR8W8DN1187FB35ED0,The Germs,206.05342,11,133.144,1,Forming,1977,
56,SODHVES12A6701CE6B,17220,The Road To Hell Part 2,AR3793X1187FB50CB3,Chris Rea,241.162,9,180.149,4,Driving Home For Christmas,1986,0.767727748
57,SOXIATP12AAF3B2184,617077,Vanguard Visionaries,ARINEWW1187FB5577E,Perrey And Kingsley,122.64444,0,102.538,4,Spooks In Space,1966,0.43483809
59,SOYQOFI12A6D4F76E1,19601,Hometown 2001,AR2J2WF1187FB46271,Francis Dunnery,300.79955,7,124.175,4,Too Much Saturn,1995,0.610474258
60,SOVOLGY12A6D4F822B,38599,Eat / Kiss: Music For The Films By Andy Warhol,ARUI8651187B9ACF52,John Cale,228.46649,7,137.004,1,Movement 4 [from Kiss] (Album Version),1997,0.226555314
61,SOMZCVH12AB0182B8E,619882,The Ultimate Most Relaxing New Age Piano in the Universe,AR89DTT1187B9A7ED5,Suzanne Ciani,239.59465,7,106.33,4,Stream,0,0.415983118
62,SONXJBL12AAF3B2C0C,618615,Classic Gold: Best of All,ARMD0G81187B99A519,Vickie Winans,228.93669,11,107.961,4,Make Me Over,0,
63,SOYWZTU12AB0180E26,681639,The Berzerker,AR0VZWC1187B99BA57,The Berzerker,165.61587,1,174.287,3,Deform (live),2000,0.0
64,SOLGHDZ12AB0183B11,449471,Holy Roller Novocaine,ARF2EHS1187B994F4E,Kings Of Leon,187.92444,0,116.823,4,Wicker Chair,2003,0.685940227
66,SOXZXXV12AAF3B3A67,530141,I Will Love Again,ARK4H5K1187B992F74,Taras,200.25424,11,127.97,4,I Will Love Again (JJ's Club Radio),0,
67,SOPIKEG12A58291636,104765,White Trash ......,AR06EB01187FB40150,NOFX,144.50893,4,152.622,4,Stickin In My Eye,1992,0.671236027
68,SOIRNBO12AC468D207,695158,Murskapunkkia,ARKPDBH1242077DEB1,Murskahumppa,285.17832,7,110.787,3,Ota kiinni,0,
70,SOIJXXM12A8C1416D6,223779,The Man from Snowy River,ARRC2JF1187B9B6A93,Bruce Rowland,84.03546,7,115.642,4,Rosemary Recalls,1985,0.0
71,SOHMMMC12AB0181C42,466577,One World One People,ARNIFX51187FB418EA,Xcultures,273.52771,1,125.013,4,Sudanese Dance,2000,0.199238262
72,SOVJXVJ12A8C13517D,148547,Tales Of Wonder,ARCCRTI11F4C845308,White Heart,298.84036,5,113.277,4,Where The Thunder Roars (Tales Of Wonder Album Version),0,0.265861049
73,SOFZCTA12AB0188D8F,423012,Waterbed Hev,ARNVH8S1187FB52F86,Heavy D / McGruff,161.38404,5,96.979,4,Wanna Be A Player,1997,0.237733942
74,SOLRYQR12A670215BF,7133,The Best Of Both Worlds,ARNLO5S1187B9B80CC,Van Halen,209.29261,8,140.995,1,Panama (Remastered Album Version),0,0.82448213
75,SOCHRXB12A8AE48069,358442,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,ARTDQRC1187FB4EFD4,Black Eyed Peas,229.61587,11,105.206,4,Let's Get It Started,2004,0.624425493
76,SOKBBXO12A6701DEA0,15567,Things Falling Apart,ARK9TRQ1187B99C095,Nine Inch Nails,426.89261,0,63.017,4,Metal,2000,0.635536649
77,SOWHYUG12A58A77FAB,413222,Your Funeral... My Trial (2009 Digital Remaster),ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,269.26975,9,144.603,4,She Fell Away (2009 Digital Remaster),0,
78,SOYSTDI12A6D4F6500,80578,Oasis of Love,ARMBYRO1187FB57419,Nadine Renee,249.41669,2,167.92,4,Next Time,0,0.198785349
79,SOOOROX12A6D4F8400,26902,60's Triple set,ARWY7I71187FB36C3D,Lesley Gore,136.48934,9,129.122,1,It's My Party,1963,
80,SONSPZE12AB01819CE,633532,Yeah.  Well_ Anyway....,AR6Y22S1187B99906F,Smartbomb,233.27302,0,132.022,4,Complicate It,2001,0.0
81,SOHWGFU12AB017B036,435830,Un Titre de Toune,ARI5P4N1187FB3F44D,Suburbs,187.24526,1,183.92,1,Monde De Fou,2005,0.249065795
82,SOQQVQJ12AB0185192,495734,Live Inferno,ARYPWUK1187B98ACED,Emperor,72.61995,9,89.867,4,Opus a Satana (Part 2),0,
83,SODRHHD12AB0189F2A,664484,Vendredi 13 - 1981,ARW63KF1187B98AC48,Julien Clerc,272.63955,2,119.896,5,This Melody (Live),0,
84,SOQGFVO12A8C13C8C3,112851,Unconditional Love,AR8H87D1187FB3A841,Glen Campbell,142.75873,1,137.29,4,I'm Gone This Time,0,
85,SORABMD12A8C136672,200689,The Very Best Of,ARLWR721187B9A03C9,T.G. Sheppard,194.11546,5,82.343,1,You Feel Good All Over,2002,0.382723281
86,SOTUBVH12AB018D2EC,682725,Country Lovers. Vol. 3,ARF4V431187FB3AA41,Slim Whitman,195.91791,3,91.487,4,Indian Love Call,1990,
87,SOMQAGT12A8C132DB4,287804,Affirmation,ARBGWMW1187B9AEA3E,Savage Garden,118.33424,9,84.69,5,You Can Still Be Free,1999,
88,SOKLLOH12A67020F2C,220917,Lullabies To Paralyze,AR6G4V01187B9AD086,Queens Of The Stone Age,288.41751,2,115.606,4,I Never Came,2005,0.725121284
89,SONRLQH12AB017C232,629785,It's War Again,ARVQ4QM1187B98AD95,Hank Penny & The Lincoln Penny Orchestra,123.21914,7,126.523,1,Dixie,0,
90,SODDZAD12A6701DC4C,11305,The Singles,AR9AM2N1187B9AD2F1,Inspiral Carpets,283.76771,2,113.677,4,Commercial Reign,1990,0.665172241
91,SORENXV12A6701F61F,4967,What You Thought You Heard,AR9XEVF1187B99D017,Borialis,239.3073,2,86.938,4,Hourglass,0,0.554654767
92,SOYMMDY12AB01825B2,325335,Daddy Don't Disco,ARCFOZ71187FB43A0D,The Dirty Skirts,206.75873,0,141.936,4,Wake,0,0.304169503
93,SOJWQIP12A6D4F710A,82932,15 Exitos Vol. 2 Flor Silvestre,ARHFEBO11F50C4825A,Flor Silvestre,134.81751,11,106.049,1,Caricia Y Herida,0,
95,SORWHWY12A6702038E,8552,Malpractice,ARXWAQQ1187B9AE954,Redman,124.18567,1,85.008,5,WKYA (drop),2001,0.57010593
97,SOITUXQ12AB0183AE9,489673,The Fabulous Eddie Cantor,ARSDSMG1187B98CB59,Eddie Cantor,155.61098,11,118.975,1,Now's The Time To Fall In Love,0,
98,SOTWEZZ12A8C142B60,475992,Grim Prospects Remixes - Grim Prospects Will Never End,AR3WMW01187B9921F7,Schizoid,275.40853,9,102.408,4,Grim Prospects (Gross Prospects - Bad Trip Remix),0,
99,SOUVRGZ12A58A77F90,495041,The Incredible Kai Winding Trombones,AR3C3C01187B98E800,Kai Winding,223.4771,0,112.006,4,Mangos,1961,0.0
100,SOBLTSM12A6D4F9EEA,225610,Staying on the Watch,ARDD9UN1187B98D3A7,Sonny Simmons,443.24526,1,45.527,4,A Distant Voice,0,0.270775999
101,SOUQVUD12A8C142DCE,473710,Openbare Weg,ARJGNV61187B98F3B5,Mira,177.81506,4,85.621,4,Openbare Weg,2006,
102,SOCRPDR12AB0185B75,710902,Tip World Singles 2000,ARSVI4L1187B996181,Citizen Kaned,385.33179,8,108.061,4,President Johnson,2000,
103,SOXVBVL12AF72A600C,341940,Praise Him...Live!,ARVJ0JK1187B98C9C0,The Brooklyn Tabernacle Choir,324.44036,7,216.195,5,Lead Me Lord,1995,0.405115722
104,SOIQHDR12AB01896C8,766444,Spontanous Combustion,AR4PCIG1187B98D07D,Ellen McIlwaine,275.12118,7,132.428,4,Spontanous Combustion,0,0.242741879
105,SODLSHA12AAF3B29F2,432406,From All Sides,AR1RHCO1187B9AF0BF,Vince Guaraldi / Bola Sete,294.66077,5,168.307,4,Choro,0,0.386790177
106,SOAGHMH12AB0180285,546663,Maurice Chevalier  The Essential Collection Vol 1,AR1X2H01187B98CCF2,Maurice Chevalier,193.20118,0,140.956,7,Ma Louise,0,
107,SORAVUP12AB018556E,548374,Dave Pearce Best of the Dance Years 1988 - 1992,ARBQBZV1187B99D29E,Carl Cox Vs Yousef,357.82485,1,130.016,5,I Want You (Forever),1991,0.511254835
108,SOFXNQP12AB0184F1A,704183,The Equinox,AR9ODB41187FB459B2,Organized Konfusion,198.3473,11,175.769,4,Hate,1997,0.460484845
109,SOGQTRZ12A8C13C8B0,307618,Timeless,ARF3GX71187FB3EB66,Martina McBride,261.95546,7,100.194,3,I Can't Stop Loving You,2005,0.488289876
110,SOBHVZQ12AC9618285,784530,Feel Good All Over: Anthology 1970-1976,AR3PN3R1187FB4CEBD,Horace Andy,176.27383,2,151.911,4,Thank You Lord,1985,
111,SOYPBCY12AB0181EF3,534470,13th And Pine,ARYWCFZ11E2835CFDD,Nazz,220.89098,9,119.691,4,How Can You Call That Beautiful (Stewkey Vocal),0,
112,SOWRLSY12AC4687694,599659,Call Tyrone,ARUT16P1187FB532A4,Tyrone Davis,235.91138,10,161.976,4,Cheatin' In The Next Room,0,
113,SOOGQWR12A8C142505,372122,Final Vinyl,AREOGMA1187B9908EF,Hot Tuna,239.59465,0,172.398,1,Candy Man,1971,
114,SOJDYQY12AB0188C97,577023,Fifteen Poems By Dylan Thomas,AR4ABL21187FB3913A,Richard Burton,171.49342,2,109.823,3,I See The Boys Of Summer,0,0.0
115,SOBHQUF12AB018B03E,572855,The Early Tapes 1975-1976,AR8YV1I1187FB45D2B,Rory Block,266.05669,1,90.101,1,Three Is a Crowd,0,0.0
116,SOFRAZJ12A8C143CDB,523481,Legacy,ARR9XGB1187B9912E6,Boyz II Men,329.27302,8,116.473,4,On Bended Knee,1994,0.345802234
117,SONNDHT12A8C13F20B,219943,Louie Bluie Film Soundtrack,ARBKUS51187B98A3AC,Howard Armstrong,198.922,9,126.821,4,My Four Reasons,0,0.333554807
118,SOYZOXW12A8C13E195,266932,Donny Hathaway,ARTB5PP1187FB523B7,Donny Hathaway,283.21914,2,111.191,3,Little Girl (LP Version),1971,0.617365618
119,SOSGJTX12AB0181F7C,514801,Canciones De Amor De Miguel Gallardo,ARXFQDY1187B9AAF1E,Miguel Gallardo,238.68036,5,125.508,4,Eternamente Amame,0,
121,SODULLV12AB017FA09,502384,What up Detroit,ARTHEAP122BCFCD0B2,DJ X-Change featuring DJ Joey A,184.31955,6,150.012,4,Come Over,0,
122,SOYAGJM12A8C13DCCE,254792,Peterbilt Angel,ARQESNI1187FB511EE,Morel,311.40526,10,108.367,4,Blue Taxi,0,
123,SORXUZZ12A8AE4798A,138320,Homemade Ice-Cream,ARCZ20M1187FB49687,Tony Joe White,162.53342,2,173.482,4,I Want Love (Tween You & Me) (Album Version),0,0.374796837
124,SOCHXAE12AF72A25D6,722546,White Feather,ARDF8K01187FB37200,Wolfmother,212.37506,4,110.745,4,White Feather,2009,
125,SOCRHCQ12A58A7C8C6,46647,Can We Go Home Now,AR11NP91187B9901B4,The Roches,338.33751,2,130.027,4,Christlike Roche,1995,0.265861049
126,SOSEJIQ12AB017E7EB,547104,In North Carolina,ARBZAIL1187FB5B1C8,Bob Margolin,126.51057,11,110.168,4,You Rascal You,0,0.233796474
127,SOMXWXQ12AC3DFA002,683402,Wintertime,ARWXHRS1241B9C7A1E,Thomas Battenstein,205.58322,9,97.976,3,Sympathy,0,
128,SOGMXBW12A6D4FB8D7,128198,Electropop,ARV1P811187FB3CFC6,Jupiter Rising,193.4624,0,119.979,4,They Say (Album),2007,0.215080319
129,SOOPUTF12AB018DFAA,818344,DUMB: 4-track cassette recordings (1987),ARIU0MA1187B98D36F,Dharma Bums,127.4771,6,156.968,1,Simon's Folly,0,
130,SOFDTRZ12AB018DD11,762520,The Hit List,ARB4D891187B9954F7,Saafir,234.762,5,188.886,4,Crawl Before You Ball (Album Version),1999,
131,SOOGNJP12A8C1381AD,293668,Underneath,ARQOC971187B9910FA,The Verve Pipe,292.8322,9,133.306,4,Medicate Myself,2001,0.466304831
